datetime,IP1,FC1,Volt FC1 ,Vtip,Itip,BV1
2018-05-29 16:44:47.228747,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:47.443711,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:47.649717,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:47.851743,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:48.052773,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:48.252808,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:48.452843,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:48.653874,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:48.891727,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:49.091762,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:49.291797,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:49.491832,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:49.692863,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:49.892898,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:50.092933,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:50.293963,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:50.493999,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:50.695029,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:50.898050,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:51.098085,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:51.298120,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:51.513083,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:51.713119,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:51.914149,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:52.116175,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:52.317205,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:52.518235,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:52.718271,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:52.918306,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:53.118341,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:53.318376,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:53.518411,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:53.718447,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:53.918482,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:54.123493,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:54.323528,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:54.523563,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:54.724594,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:54.924629,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:55.124664,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:55.324699,1023.0,0.0,0.0,0.0,0.0,0.0
2018-05-29 16:44:55.529711,1023.0,0.1,0.0,0.0,0.0,0.0
2018-05-29 16:44:55.731736,1023.0,0.1,0.0,0.0,0.0,0.0
2018-05-29 16:44:55.933762,1023.0,0.1,0.0,0.0,0.0,0.0
2018-05-29 16:44:56.133797,1023.0,0.1,0.0,0.0,0.0,0.0
2018-05-29 16:44:56.334827,1023.0,0.1,0.0,0.0,0.0,0.0
2018-05-29 16:44:56.535858,1023.0,0.2,0.0,0.0,0.0,0.0
2018-05-29 16:44:56.735893,1023.0,0.2,0.0,0.0,0.0,0.0
